"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C1","1uF","C_0603_1608Metric","5.100000","12.000000","90.000000","top"
"C2","1uF","C_0603_1608Metric","-13.000000","10.262500","-90.000000","top"
"C3","1uF","C_0603_1608Metric","-7.550002","10.362500","90.000000","top"
"C4","1uF","C_0603_1608Metric","18.000000","15.000000","0.000000","top"
"C5","1uF","C_0603_1608Metric","-15.300000","10.300000","-90.000000","top"
"F1","BSMD1812-200-30V","Fuse_1812_4532Metric","16.862500","-13.000000","180.000000","top"
"R1","0Ohm","R_0603_1608Metric","11.000000","4.425000","-90.000000","top"
"R2","330R","R_0603_1608Metric","9.300000","4.425000","-90.000000","top"
"R3","330R","R_0603_1608Metric","15.000000","10.350000","-90.000000","top"
"R4","0ohm","R_0603_1608Metric","23.600000","3.900000","0.000000","top"
"R5","330R","R_0603_1608Metric","23.600000","5.500000","0.000000","top"
"U2","STM32F030F4Px","TSSOP-20_4.4x6.5mm_P0.65mm","10.300000","10.025000","-90.000000","top"
"U3","AP2112K-3.3","SOT-23-5","-10.300000","10.300000","-180.000000","top"
"U4","74LVC2G17","SOT-23-6_Handsoldering","-18.300000","8.900000","0.000000","top"
"U5","TLP2361","SO-5_4.4x3.6mm_P1.27mm","18.000000","9.200000","270.000000","top"
